- Data collection timestamp: 2019-8-21  13:27:27

--- BIOS Attributes ---
Attribute Name: AcPwrRcvry	Attribute Value: Last
Attribute Name: AcPwrRcvryDelay	Attribute Value: Immediate
Attribute Name: AcPwrRcvryUserDelay	Attribute Value: 60
Attribute Name: AesNi	Attribute Value: Enabled
Attribute Name: AssetTag	Attribute Value: 
Attribute Name: AuthorizeDeviceFirmware	Attribute Value: Disabled
Attribute Name: BootMode	Attribute Value: Uefi
Attribute Name: BootSeqRetry	Attribute Value: Enabled
Attribute Name: ConTermType	Attribute Value: Vt100Vt220
Attribute Name: ControlledTurbo	Attribute Value: Disabled
Attribute Name: CorrEccSmi	Attribute Value: Enabled
Attribute Name: CpuInterconnectBusLinkPower	Attribute Value: Enabled
Attribute Name: CpuInterconnectBusSpeed	Attribute Value: MaxDataRate
Attribute Name: CurrentEmbVideoState	Attribute Value:  
Attribute Name: CurrentMemOpModeState	Attribute Value: Optimizer Mode
Attribute Name: DcuIpPrefetcher	Attribute Value: Enabled
Attribute Name: DcuStreamerPrefetcher	Attribute Value: Enabled
Attribute Name: DellAutoDiscovery	Attribute Value: PlatformDefault
Attribute Name: DellWyseP25BIOSAccess	Attribute Value: Enabled
Attribute Name: DynamicCoreAllocation	Attribute Value: Disabled
Attribute Name: EmbSata	Attribute Value: AhciMode
Attribute Name: EmbVideo	Attribute Value: Enabled
Attribute Name: EnergyPerformanceBias	Attribute Value: BalancedPerformance
Attribute Name: ErrPrompt	Attribute Value: Enabled
Attribute Name: ExtSerialConnector	Attribute Value: Serial1
Attribute Name: FailSafeBaud	Attribute Value: 115200
Attribute Name: ForceInt10	Attribute Value: Disabled
Attribute Name: GenericUsbBoot	Attribute Value: Disabled
Attribute Name: HddFailover	Attribute Value: Disabled
Attribute Name: HddPlaceholder	Attribute Value: Disabled
Attribute Name: HttpDev1EnDis	Attribute Value: Disabled
Attribute Name: HttpDev1Interface	Attribute Value: NIC.Integrated.1-1-1
Attribute Name: HttpDev1Protocol	Attribute Value: IPv4
